"","OTU","kingdom","phylum","class","order","family","genus","species","s.APEIME","s.CHRYCA","s.CORDAL","s.DYPTE","s.HEISCO","s.LACPA","s.THEOCA","index","stat","p.value","p.value.bh"
"25","OTU_53","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","unidentified","Clavicipitaceae_sp",0,0,0,0,1,0,0,5,0.387184599912464,0.024,0.182709677419355
"26","OTU_68","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum",0,0,1,0,0,0,0,3,0.395695889201189,0.041,0.222741573033708
"27","OTU_52","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",0,0,1,0,0,0,0,3,0.513168601772908,0.004,0.0786666666666667
"28","OTU_58","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","Xylariales_sp",0,1,0,0,0,0,0,2,0.654968229143855,0.001,0.0337142857142857
"29","OTU_87","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","unidentified","Xylariaceae_sp",0,1,0,0,0,0,0,2,0.686565931984642,0.001,0.0337142857142857
"30","OTU_99","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,0,1,0,0,0,0,3,0.47052183261029,0.011,0.144222222222222
"31","OTU_61","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Ovatospora","Ovatospora_brasiliensis",0,0,1,0,0,0,0,3,0.431773091994281,0.03,0.193972602739726
"32","OTU_72","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria_thysanolaenicola",1,0,0,0,0,0,0,1,0.542554434566801,0.006,0.104888888888889
"33","OTU_76","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales_sp",1,0,1,0,0,0,0,9,0.439357569293244,0.02,0.174814814814815
"34","OTU_71","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","Setophoma_sp",0,0,1,0,0,0,0,3,0.450462551017196,0.014,0.150181818181818
"35","OTU_125","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp",1,0,0,0,0,0,0,1,0.500777186701895,0.009,0.128727272727273
"36","OTU_78","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Annulohypoxylon","Annulohypoxylon_stygium",1,0,1,0,1,0,0,35,0.48035289416639,0.007,0.118
"37","OTU_75","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","Sarocladium_gamsii",0,0,0,0,0,0,1,7,0.475155960463469,0.02,0.174814814814815
"38","OTU_84","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_sp",0,0,0,0,0,0,1,7,0.67228913656266,0.001,0.0337142857142857
"39","OTU_132","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_sp",0,0,0,0,0,0,1,7,0.378772308621985,0.037,0.2183
"40","OTU_79","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","Ramichloridium_sp",0,0,0,0,0,0,1,7,0.658422762120528,0.002,0.0472
"41","OTU_101","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypoxylon","Hypoxylon_sp",1,0,1,0,0,0,0,9,0.477658602545469,0.013,0.149658536585366
"42","OTU_86","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Valsaceae","Phomopsis","Phomopsis_sp",0,1,1,0,0,0,0,14,0.45965852158988,0.023,0.180933333333333
"43","OTU_223","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,0,1,0,0,0,0,3,0.398993686953283,0.031,0.19772972972973
"44","OTU_183","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella_sp",0,0,0,0,0,0,1,7,0.500146748369025,0.008,0.121806451612903
"45","OTU_90","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_costaricense",0,1,0,0,0,0,0,2,0.616144479593601,0.001,0.0337142857142857
"46","OTU_100","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_hennebertii",0,0,0,1,0,0,0,4,0.391381369960994,0.039,0.22178313253012
"47","OTU_212","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",0,0,1,0,0,0,0,3,0.556304551689377,0.001,0.0337142857142857
"48","OTU_172","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_curta",1,0,1,0,0,0,0,9,0.494284918572411,0.008,0.121806451612903
"49","OTU_117","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Melomastia","Melomastia_sp",0,0,1,0,0,0,0,3,0.440599570383159,0.028,0.193972602739726
"50","OTU_169","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Morosphaeriaceae","Acrocalymma","Acrocalymma_sp",0,0,1,0,0,0,0,3,0.458078796594549,0.029,0.193972602739726
"51","OTU_512","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,0,1,0,0,0,0,3,0.52863875539122,0.002,0.0472
"52","OTU_179","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_melonis",0,0,1,0,0,0,0,3,0.407716763125504,0.042,0.222741573033708
"53","OTU_94","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Oxydothis","Oxydothis_garethjonesii",0,0,0,0,1,0,0,5,0.477112796271471,0.008,0.121806451612903
"54","OTU_112","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp",0,1,0,0,1,0,0,16,0.396100934851494,0.05,0.256521739130435
"55","OTU_106","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","unidentified","Xylariaceae_sp",0,0,1,0,0,0,0,3,0.474029349549801,0.012,0.149052631578947
"56","OTU_119","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_sp",0,0,0,1,0,0,0,4,0.423484315490117,0.027,0.193090909090909
"57","OTU_142","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypoxylon","Hypoxylon_hypomiltum",0,0,1,0,0,0,0,3,0.431219805353137,0.027,0.193090909090909
"58","OTU_171","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Amesia","Amesia_nigricolor",0,1,0,0,0,0,0,2,0.532560827372243,0.004,0.0786666666666667
"59","OTU_138","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","unidentified","Herpotrichiellaceae_sp",0,1,0,0,0,0,0,2,0.595199020314709,0.001,0.0337142857142857
"60","OTU_139","Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","Phialemonium_dimorphosporum",0,1,0,0,0,0,0,2,0.655931681484363,0.001,0.0337142857142857
"61","OTU_194","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Pestalotiopsis","Pestalotiopsis_sp",0,0,0,0,0,0,1,7,0.439061539651364,0.033,0.20768
"62","OTU_145","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_hennebertii",0,1,0,0,0,0,0,2,0.489379805228023,0.021,0.177
"63","OTU_262","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",1,0,1,0,0,0,0,9,0.453808625112774,0.015,0.157333333333333
"64","OTU_327","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,0,1,0,0,0,0,3,0.533069067583161,0.004,0.0786666666666667
