#OTU ID,Expected,Observed_Tier1,EVEN_TIER,Pct,Pct_number,Code,Phylum,Species,Ratio
OTU_36,7826.758266,23,E1,0.02327205,E_PCT1,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353
OTU_37,2771.44,0,E1,0,E_PCT1,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_38,898.1525878,0,E1,0,E_PCT1,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_39,5046.76216,0,E1,0,E_PCT1,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_4,10093.52432,3443,E1,3.483724742,E_PCT1,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133
OTU_40,2429.288904,0,E1,0,E_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_41,4447.993768,0,E1,0,E_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_42,4533.53211,407,E1,0.411814107,E_PCT1,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_43,1317.290462,5,E1,0.005059141,E_PCT1,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_44,0,15,E1,0.015177424,E_PCT1,,,,
OTU_45,1317.290462,18,E1,0.018212909,E_PCT1,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_46,2429.288904,10,E1,0.010118283,E_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_47,2206.889216,8,E1,0.008094626,E_PCT1,CBS385.35,Ascomycota,Xylaria mali,0.022329929
OTU_48,2429.288904,0,E1,0,E_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_49,786.9527436,0,E1,-0.001011828,E_PCT1,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_5,4533.53211,7404,E1,7.49157653,E_PCT1,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_50,4362.455427,5,E1,0.005059141,E_PCT1,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_51,1274.521291,1,E1,0.001011828,E_PCT1,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_52,1274.521291,0,E1,0,E_PCT1,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_53,1274.521291,3,E1,0.003035485,E_PCT1,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_54,4447.993768,3,E1,0.003035485,E_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_55,898.1525878,0,E1,0,E_PCT1,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_6,5046.76216,3457,E1,3.497890338,E_PCT1,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_7,863.9372512,4268,E1,4.318483067,E_PCT1,CBS107930,Basidiomycota,Hericium abietis,0.008741561
OTU_8,1830.520512,4298,E1,4.348837915,E_PCT1,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_9,1274.521291,5689,E1,5.756291042,E_PCT1,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_1,4388.05695,30014,E2,30.19182988,E_PCT2,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_10,0,0,E2,0,E_PCT2,,,,
OTU_11,4474.097282,-372,E2,-0.374204062,E_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
