OTU_ID,Code,Phylum,Species,Ratio,EVEN_TIER,Pct_number,Pct,Expected,Observed,log10Expected,log10Observed
OTU_27,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,E1,E_PCT1,0.489724884,1317.290462,484,3.119681547,2.684845362
OTU_28,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234,E1,E_PCT1,0.148738756,2600.365588,147,3.41503441,2.167317335
OTU_36,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353,E1,E_PCT1,0.02327205,7826.758266,23,3.893581921,1.361727836
OTU_4,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133,E1,E_PCT1,3.483724742,10093.52432,3443,4.004042834,3.536937023
OTU_42,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,E1,E_PCT1,0.411814107,4533.53211,407,3.656436696,2.609594409
OTU_5,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,E1,E_PCT1,7.49157653,4533.53211,7404,3.656436696,3.86946641
OTU_6,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566,E1,E_PCT1,3.497890338,5046.76216,3457,3.703012838,3.53869938
OTU_7,CBS107930,Basidiomycota,Hericium abietis,0.008741561,E1,E_PCT1,4.318483067,863.9372512,4268,2.9364822,3.630224411
OTU_8,CBS6965,Basidiomycota,Tremella aurantia,0.018521724,E1,E_PCT1,4.348837915,1830.520512,4298,3.2625746,3.633266411
OTU_9,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,E1,E_PCT1,5.756291042,1274.521291,5689,3.105347095,3.755035934
OTU_1,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557,E2,E_PCT2,30.19182988,4388.05695,30014,3.642272255,4.477323878
OTU_12,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212,E2,E_PCT2,4.548792387,894.8194565,4522,2.951735419,3.655330558
OTU_13,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261,E2,E_PCT2,2.929253302,791.5710576,2912,2.898489907,3.464191371
OTU_15,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853,E2,E_PCT2,0.943557554,2323.088974,938,3.366065844,2.972202838
OTU_16,CBS210.32,Zygomycota,Mortierella alpina,0.026830535,E2,E_PCT2,0.550240919,2667.250303,547,3.426063773,2.737987326
OTU_17,CBS6001,Basidiomycota,Malassezia,0.017483123,E2,E_PCT2,2.077234914,1738.014714,2065,3.240053449,3.314920056
OTU_19,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,E2,E_PCT2,0.131776162,2443.545439,131,3.388020419,2.117271296
OTU_2,P3112,Basidiomycota,Pucciniomycotina,0.004067855,E2,E_PCT2,21.6273853,404.3895621,21500,2.606799937,4.33243846
OTU_20,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589,E2,E_PCT2,1.434448904,1088.410204,1426,3.036792605,3.154119526
OTU_21,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131,E2,E_PCT2,0.308818944,9980.678553,307,3.999160069,2.487138375
OTU_22,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059,E2,E_PCT2,0.289706371,4474.097282,288,3.650705423,2.459392488
OTU_23,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236,E2,E_PCT2,0.023136273,2787.706768,23,3.445247089,1.361727836
OTU_24,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631,E2,E_PCT2,0.196155355,2340.29704,195,3.369270983,2.290034611
OTU_27,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,E2,E_PCT2,0.138817636,1325.021118,138,3.1222228,2.139879086
OTU_28,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234,E2,E_PCT2,0.079468067,2615.626104,79,3.417575663,1.897627091
OTU_4,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133,E2,E_PCT2,2.248242146,10152.75922,2235,4.006584087,3.349277527
OTU_42,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,E2,E_PCT2,0.523080947,4560.137615,520,3.658977949,2.716003344
OTU_43,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,E2,E_PCT2,0.021124423,1325.021118,21,3.1222228,1.322219295
OTU_5,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,E2,E_PCT2,10.0803734,4560.137615,10021,3.658977949,4.000911062
OTU_6,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566,E2,E_PCT2,6.366498677,5076.379609,6329,3.705554091,3.801335096
OTU_7,CBS107930,Basidiomycota,Hericium abietis,0.008741561,E2,E_PCT2,4.101155808,869.0073568,4077,2.939023453,3.610340711
OTU_8,CBS6965,Basidiomycota,Tremella aurantia,0.018521724,E2,E_PCT2,7.739586162,1841.263112,7694,3.265115853,3.886152182
OTU_9,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,E2,E_PCT2,2.615404734,1282.000952,2600,3.107888348,3.414973348
OTU_1,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557,E3,E_PCT3,24.74937846,4403.10888,24688,3.643759425,4.392485909
OTU_11,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059,E3,E_PCT3,0.609511589,4489.444348,608,3.652192592,2.783903579
OTU_12,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212,E3,E_PCT3,3.351311252,897.8888697,3343,2.953222588,3.524136377
OTU_13,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261,E3,E_PCT3,3.990897426,794.2863078,3981,2.899977076,3.599992178
OTU_15,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853,E3,E_PCT3,2.137300505,2331.057642,2132,3.367553013,3.3287872
OTU_16,CBS210.32,Zygomycota,Mortierella alpina,0.026830535,E3,E_PCT3,0.969404122,2676.399515,967,3.427550943,2.985426474
OTU_17,CBS6001,Basidiomycota,Malassezia,0.017483123,E3,E_PCT3,1.456612399,1743.976458,1453,3.241540618,3.162265614
OTU_19,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,E3,E_PCT3,0.29272596,2451.927298,292,3.389507589,2.465382851
OTU_2,P3112,Basidiomycota,Pucciniomycotina,0.004067855,E3,E_PCT3,28.99089743,405.7767007,28919,2.608287107,4.461183271
OTU_20,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589,E3,E_PCT3,1.399470687,1092.143673,1396,3.038279774,3.144885418
OTU_21,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131,E3,E_PCT3,0.402999439,10014.91432,402,4.000647238,2.604226053
OTU_22,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059,E3,E_PCT3,0.601491699,4489.444348,600,3.652192592,2.77815125
OTU_23,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236,E3,E_PCT3,0.218541984,2797.269171,218,3.446734259,2.338456494
OTU_24,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631,E3,E_PCT3,0.475178443,2348.324736,474,3.370758153,2.675778342
OTU_27,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,E3,E_PCT3,0.43407651,1329.566211,433,3.12370997,2.636487896
OTU_28,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234,E3,E_PCT3,0.169420162,2624.598234,169,3.419062832,2.227886705
OTU_36,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353,E3,E_PCT3,0.027067126,7899.695344,27,3.897610343,1.431363764
OTU_4,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133,E3,E_PCT3,3.859571738,10187.58525,3850,4.008071256,3.58546073
OTU_42,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,E3,E_PCT3,0.362899992,4575.779817,362,3.660465118,2.558708571
OTU_48,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,E3,E_PCT3,0.033082043,2451.927298,33,3.389507589,1.51851394
OTU_5,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,E3,E_PCT3,7.078554816,4575.779817,7061,3.660465118,3.848866211
OTU_6,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566,E3,E_PCT3,3.010465956,5093.792626,3003,3.70704126,3.477555332
OTU_7,CBS107930,Basidiomycota,Hericium abietis,0.008741561,E3,E_PCT3,4.453043548,871.9882292,4442,2.940510623,3.647578554
OTU_8,CBS6965,Basidiomycota,Tremella aurantia,0.018521724,E3,E_PCT3,3.677119256,1847.57902,3668,3.266603022,3.564429327
OTU_9,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,E3,E_PCT3,6.392854279,1286.398477,6377,3.109375517,3.804616417
