Species,Unique ID,E_load,Leaf_ID,Trial_date_ant,Colony_ID,Colony_location_Pipeline-Gamboa,Picture_ID,Time_start_trial,Attempt,Time_first_contact,Time_first_cut,Time_end_elapsed_trial,Trial_success,Leaf_area_initial,Leaf_area_final,Total_leaf_area_cut,Analyzer,Date_analyzed,X_coordinates,Y_coordinates,Elevation_meters
HEISCO,T5_E-_HEI_09,E-,D,7/21/2019,COL30,,,,1,0:01:10,0:16:34,0:38:30,1,1186.982,453.818,733.164,MD,11.22.19,,,
HEISCO,T5_E+_HEI_10,E+,D,7/21/2019,COL30,,,,1,0:02:38,0:13:48,0:38:30,1,1259.478,539.298,720.18,MD,11.22.19,,,
APEIME,T1_E-_APE_01,E-,D,7/22/2019,COL09,,,,1,0:01:22,0:18:38,1:37:09,1,812.656,254.11,558.546,MD,11.25.19,,,
APEIME,T1_E+_APE_02,E+,D,7/22/2019,COL09,,,,1,0:01:28,0:05:10,1:37:09,1,1072.119,713.792,358.327,MD,11.25.19,,,
APEIME,T2_E-_APE_03,E-,D,7/22/2019,COL40,,,,1,0:00:59,0:06:31,0:13:49,1,848.847,206.552,642.295,MD,11.25.19,,,
APEIME,T2_E+_APE_04,E+,D,7/22/2019,COL40,,,,1,0:01:24,0:05:27,0:13:49,1,726.357,164.809,561.548,MD,11.25.19,,,
APEIME,T3_E-_APE_05,E-,D,7/23/2019,COL25,,,,1,0:03:55,0:12:51,1:05:30,1,1091.956,357.456,734.5,MD,11.25.19,,,
APEIME,T3_E+_APE_06,E+,D,7/23/2019,COL25,,,,1,0:02:24,0:13:00,1:05:30,1,1339.764,440.179,899.585,MD,11.25.19,,,
APEIME,T4_E-_APE_07,E-,D,7/24/2019,COL41,,,,1,0:02:39,0:18:58,0:39:15,1,678.548,244.903,433.645,MD,11.25.19,,,
APEIME,T4_E+_APE_08,E+,D,7/24/2019,COL41,,,,1,0:15:37,0:22:15,0:39:15,1,687.201,676.911,10.29,MD,11.25.19,,,
APEIME,T5_E-_APE_09,E-,D,7/24/2019,COL43,,,,1,0:08:02,,1:35:00,1,826.061,804.77,21.291,MD,11.25.19,,,
APEIME,T5_E+_APE_10,E+,D,7/24/2019,COL43,,,,1,0:05:04,0:23:39,1:35:00,1,738.683,404.768,333.915,MD,11.25.19,,,
CORDAL,T1_E-_COR_01,E-,D,7/27/2019,COL44,,,,1,0:17:55,0:35:56,1:17:00,1,1438.913,253.68,1185.233,MD,12.4.19,,,
CORDAL,T1_E+_COR_02,E+,D,7/27/2019,COL44,,,,1,0:08:30,0:35:34,1:17:00,1,2023.927,1527.845,496.082,MD,12.4.19,,,
CORDAL,T2_E-_COR_03,E-,D,7/27/2019,COL,,,,1,0:01:31,0:05:20,2:00:00,1,1658.344,756.258,902.086,MD,12.4.19,,,
CORDAL,T2_E+_COR_04,E+,D,7/27/2019,COL,,,,1,0:02:40,1:05:05,2:00:00,1,1599.168,1089.7,509.468,MD,12.4.19,,,
CORDAL,T3_E-_COR_05,E-,D,7/28/2019,COL45,,,,1,0:01:23,0:03:57,0:25:30,1,1021.533,286.431,735.102,MD,12.4.19,,,
CORDAL,T3_E+_COR_06,E+,D,7/28/2019,COL45,,,,1,0:01:07,0:11:32,0:25:30,1,1267.758,1000.644,267.114,MD,12.4.19,,,
CORDAL,T4_E-_COR_07,E-,D,7/28/2019,COL46,,,,1,0:00:38,0:02:14,0:12:15,1,984.019,188.246,795.773,MD,12.4.19,,,
CORDAL,T4_E+_COR_08,E+,D,7/28/2019,COL46,,,,1,0:00:40,0:04:15,0:12:15,1,1510.093,253.44,1256.653,MD,12.4.19,,,
CORDAL,T5_E-_COR_09,E-,D,7/28/2019,COL48,,,,1,0:05:15,0:08:40,0:40:15,1,1262.088,779.168,482.92,MD,12.4.19,,,
CORDAL,T5_E+_COR_10,E+,D,7/28/2019,COL48,,,,1,0:00:57,0:05:37,0:40:15,1,1914.19,186.075,1728.115,MD,12.4.19,,,
